,substanceBXH,geneSymbol,LocusLinkID,moduleColor,GS.Factor,p.GS.Factor,MM.grey,p.MM.grey,MM.blue,p.MM.blue,MM.brown,p.MM.brown,MM.greenyellow,p.MM.greenyellow,MM.pink,p.MM.pink,MM.salmon,p.MM.salmon,MM.tan,p.MM.tan,MM.magenta,p.MM.magenta,MM.black,p.MM.black,MM.green,p.MM.green,MM.turquoise,p.MM.turquoise
ADGRG2,ADGRG2,ADGRG2,10149,grey,-0.333236367,0.002523719,-0.49580042,2.92034E-06,-0.4724045,9.67758E-06,-0.245314379,0.028288877,0.513497896,1.11048E-06,0.279553959,0.012027364,-0.35649033,0.001171606,-0.43902259,4.62529E-05,0.176555931,0.117197663,-0.03507265,0.757430162,-0.11243889,0.320705404,-0.051180841,0.652085885
LPAR4,LPAR4,LPAR4,2846,grey,0.333054871,0.002538307,0.29194603,0.008597488,0.319767186,0.003835321,0.395275535,0.000284773,-0.190198864,0.091050942,-0.333052277,0.002538516,0.164200533,0.145547872,0.19651133,0.080625838,-0.236044965,0.035038991,-0.148357487,0.189066191,0.199461281,0.076091504,-0.22524326,0.044555844
B3GNTL1,B3GNTL1,B3GNTL1,146712,grey,-0.333034448,0.002539953,-0.446055784,3.37162E-05,-0.374195114,0.000627712,-0.189891208,0.091584995,0.615153857,1.26925E-09,0.169347345,0.133169629,-0.413244543,0.000139097,-0.309512813,0.005210061,0.231028396,0.039222809,-0.0645473,0.569467437,-0.180620584,0.108866084,-0.211196388,0.060034576
CDC42EP1,CDC42EP1,CDC42EP1,NA,grey,-0.332991369,0.002543429,-0.362669991,0.000946074,-0.353742603,0.001286708,-0.07025449,0.535750731,0.385680202,0.00041076,0.297870561,0.007285334,-0.265438316,0.017329394,-0.195797645,0.081754538,-0.062032609,0.584632201,0.095251499,0.400650498,-0.074882843,0.50915175,0.101504869,0.370298009
PTPRK,PTPRK,PTPRK,5796,grey,-0.33293355,0.0025481,-0.297305992,0.007402286,-0.268702272,0.015951521,-0.043102604,0.704219803,0.306841137,0.005633304,0.090775595,0.423248365,-0.176978328,0.116309649,-0.283617173,0.010790681,0.133573888,0.237515366,0.240993452,0.03128463,-0.123286362,0.27592707,-0.084653011,0.455314367
CYSLTR1,CYSLTR1,CYSLTR1,10800,grey,-0.332843954,0.002555355,-0.44396722,3.70618E-05,-0.430330947,6.77168E-05,-0.24172412,0.030760062,0.485635407,4.96841E-06,0.269887186,0.015475231,-0.344627859,0.001745533,-0.370020476,0.000729549,0.227356491,0.042542133,0.054259235,0.632633343,-0.057021121,0.615389949,-0.081773448,0.470846948
GET1-SH3BGR,GET1-SH3BGR,GET1-SH3BGR,106865373,grey,0.332837772,0.002555856,0.406245495,0.000184765,0.385961253,0.00040644,0.448547851,3.00927E-05,-0.408786887,0.000166787,-0.311168984,0.004962066,0.311294864,0.004943652,0.359326822,0.001062646,-0.244390705,0.028908043,-0.177969569,0.114246106,-0.031398642,0.782174673,0.003044637,0.978616445
SPOCK1,SPOCK1,SPOCK1,6695,grey,0.332818944,0.002557383,0.295265463,0.007838868,0.27680105,0.012933652,0.348453552,0.001537487,-0.231906675,0.038461661,-0.345997921,0.001668277,0.099189986,0.381366787,0.031581278,0.780939264,-0.133651576,0.237240154,-0.112694879,0.319597852,0.102367733,0.366222748,-0.213531774,0.057194046
DUSP5,DUSP5,DUSP5,1847,grey,0.332791324,0.002559624,0.470551696,1.06014E-05,0.472533621,9.6161E-06,0.171399671,0.128462905,-0.473589154,9.12701E-06,-0.220505247,0.049358291,0.598801051,4.43609E-09,0.409482032,0.000162158,-0.161118899,0.153361725,0.080612856,0.477187392,0.159049931,0.158780658,0.114545438,0.311664393
IFT46,IFT46,IFT46,56912,grey,0.332775708,0.002560893,0.42618703,8.09205E-05,0.39558984,0.000281323,0.42240433,9.50183E-05,-0.41128321,0.000150711,-0.442758949,3.91358E-05,0.299193651,0.007017603,0.216539299,0.053698463,-0.238942191,0.032797665,-0.123319736,0.2757961,0.043208755,0.703525173,-0.195407742,0.082376462
